tid,ra,dec,st_pmra,st_pmdec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
304100538,27.699972,-75.848774,10.497,-3.836,5.0100708,2.0644756,409.4812214,2.3107394,210.6631712,971.6657708,9.5268,94.4178,5551.0,4.46214,0.906282
295541511,273.602061,-66.419974,-15.32,-38.643,2.2281625,2.015,630.0,2.56778,702.927,1434.0,10.4055,167.598,5731.0,4.43,1.02
261369656,292.604815,-46.278074,19.136,-29.092,10.95663,3.588,3830.0,23.9726,619.065,1389.0,10.5024,421.518,6456.0,3.92,2.07
469782185,292.391505,-37.304009,-20.519,1.569,1.20928,1.886,11883.8,15.1764,,,10.2398,161.932,5159.8,4.23,1.27
128790976,300.212928,-43.982529,57.283,-119.195,3.5187707,2.408,5634.0,14.0061,2000.01,1863.0,7.2235,75.7145,6690.0,4.24,1.49
80166433,298.287708,-46.369991,11.24,6.895,0.7724825,1.3744974,211.3168519,4.1624907,60276.5000547,3996.2877922,8.0465,237.593,8271.0,3.95,2.5027299
198213332,248.433545,61.718334,-4.999,6.335,0.5860366,0.8098934,410.5241553,4.906408,26813.1057089,3263.6721812,9.2872,222.74,5579.0,3.67,2.39803
89389197,301.17768,30.409951,0.167,11.867,1.3206356,1.6000996,1052.4255997,34.7561624,3652.2582486,1982.7142102,9.00558,419.435,4919.6,,6.3070302
202563254,304.034336,31.925687,18.077,6.707,4.4780798,4.513,1054.0,11.3678,31621.7,3715.0,8.86193,238.726,7947.0,4.2,1.83
117789567,300.774016,26.892025,3.538,1.463,2.3202418,2.3817612,5082.9417064,,22262.0513573,3115.3801229,7.9172,632.553,8737.5,,
154840461,182.691562,85.705076,-14.194,-2.275,6.0360758,1.255,987.0,9.86763,464.097,1293.0,8.40534,147.134,6528.3,4.21,1.69
459970307,254.924043,64.699214,-6.159,24.32,21.745537,4.196,659.0,2.10208,28.2504,642.0,9.3188,93.8819,5704.0,4.51,0.93
13419950,305.289344,41.462366,5.416,1.942,7.3166682,3.255,3210.0,,1221.82,1647.0,9.65306,348.481,8730.0,,
375542276,294.091757,19.639255,-2.002,-11.779,3.0771612,2.6914319,4703.2844346,,2636.8654415,1827.6445751,9.47751,148.342,9311.3,,
302518439,134.120039,72.533276,-5.684,7.67,6.7075429,2.125,11920.0,17.4647,225.822,1079.0,10.6405,259.0,6134.3,,1.24
230088370,247.35668,71.505873,-16.259,5.101,14.0077666,5.8727493,5924.8349672,12.4023108,264.4796635,1028.5320293,10.1772,295.561,6557.7,4.18,1.57435
148914726,187.055897,67.240043,-6.578,13.823,1.2615323,1.039,2841.0,8.67407,1437.18,1715.0,10.1313,86.444,4927.9,4.57,0.78
372757221,162.893176,81.322174,-2.083,-9.042,2.5941968,0.861,907.0,4.47229,300.014,1159.0,9.9002,221.071,6389.0,4.26,1.4
112026224,292.223229,24.20119,-20.73,-57.98,3.9687994,1.07,1760.0,,,,9.8744,,5286.9,,
278683844,99.238421,-58.016153,51.497,-205.6,5.5411114,2.467,633.0,2.04482,258.843,1117.0,9.2789,66.6187,5332.0,4.56429,0.82
278683844,99.238421,-58.016153,51.497,-205.6,10.6917268,3.002,535.0,1.79811,42.2657,710.0,9.2789,66.6187,5332.0,4.56429,0.82
287196418,292.734132,59.403853,0.983,0.492,3.6950015,4.515,7655.0,14.1288,2184.62,1904.0,9.80529,280.948,7106.7,4.2,1.63
158276040,286.550056,44.0808,-6.94,-18.91,45.9403293,3.768,14807.0,28.3312,20.4053,,10.4999,283.025,6479.3,,1.28
69068526,291.707693,17.808736,0.136,-0.736,5.5376617,2.517,5390.0,15.6557,351.929,1206.0,10.4318,424.442,6689.0,3.96,2.06
92677094,293.26832,15.736136,8.576,-0.501,4.5960377,4.744,5000.0,16.2166,2340.04,1937.0,10.4247,405.634,7649.0,4.04,2.12
467666275,169.119109,-60.567675,50.005,43.596,1.3812115,2.7372191,117.7553083,2.2402361,5767.3673643,2222.614552,8.004,106.505,6711.0,4.06358,1.7756799
287776397,127.128017,-74.954728,-18.648,19.627,2.3922703,9.0053425,63.575141,3.5905923,18015.5142019,2954.822621,8.3902,309.932,6090.0,3.29864,4.1956
364393429,116.594329,-64.056009,-194.669,171.244,2.6282553,2.0930597,75.2858004,0.9817044,955.7979966,1418.1144376,9.2397,113.758,6282.0,4.37809,1.10743
